name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
DANCe J16064467-2033428,Confirmed,12.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,241.68612501489,-20.5618889094,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16064553-2121595,Confirmed,10.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.0,115.0,115.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,241.68970834851,-21.366527798,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16081299-2304316,Confirmed,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,242.05412500433,-23.0754444528,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16091010-1930376,Confirmed,8.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710.0,170.0,170.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,242.2920833367,-19.5104444628,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16123953-2614510,Confirmed,12.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,243.16470834651,-26.247500016,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16134589-2442310,Confirmed,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.0,160.0,160.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,243.44120834863,-24.708611132,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16135217-2443562,Confirmed,10.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,243.467375017,-24.7322778046,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16140756-2211524,Confirmed,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,243.53150000252,-22.1978889042,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16255679-2113354,Confirmed,12.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,246.48662501893,-21.2265000122,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16393029-2454135,Confirmed,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,249.87620834343,-24.903750021,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DE0823-49 b,Confirmed,31.5,13.0,13.0,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,2023-09-13,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.0,,,,,,Published in a refereed paper,Imaging,Astrometry,,DENIS J082303.1-491201 b,,DE0823-49,125.762500001,-48.799722218,,,,,,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,,0.1,0.02,0.02,2150.0,100.0,100.0,,,
DH Tau b,Confirmed,11.0,0.003,0.003,,,,,,,,,,330.0,,,,,,,,,,2005,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CO, H2O",DH Tau,67.425,26.5494444,13.71,,,,,,,,,,,0.37,0.12,0.12,,,,M0.5V,0.001,0.0009,0.0009,,,,,,
FU Tau b,Confirmed,15.0,,,,,,,,,,,,800.0,,,,,,,,,5.714286,2009,2011-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140.0,,,,,,0.05,,,,,,M7.25,0.001,,,2838.0,,,,,
G 196-3 b,Confirmed,15.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,1998,2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.0,,,,,,Published in a refereed paper,Imaging,,,2MASS J10042148+5023135 b,,G 196-3,151.08942874,50.3870520153,11.75,9.41,8.12,7.47,7.29,21.805,0.0185,0.0185,,,,0.4,0.05,0.05,,,,M2.5,,,,3400.0,100.0,100.0,,,2MASS J10042148+5023135
G204-39 b,Confirmed,29.0,8.0,8.0,,,,,,,,,,2685.0,,,,,,,,,,2010,2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"SDSS J175805.46+463311.9, 2MASS J17580545+4633099",,G204-39,269.462359284,46.5886459515,11.64,,7.85,7.25,7.0,13.9908,0.00693,0.00693,,,,0.36,,,,,,M3,1.0,0.5,0.5,,,,,,"HIP 87938, 2MASS J17575096+4635182"
GJ 229 B,Confirmed,35.0,15.0,15.0,1.61971,0.664,0.664,,,,52890.0,24055.0,24055.0,19.433,6.9,6.9,0.03,0.03,0.03,,,,,1995,2020-01-09,180.0,180.0,180.0,,,,,,,,,,,,,,,,,,,,,,17.06,5.2,5.2,1200.0,1200.0,1200.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,Gliese 229 B,,GJ 229,92.6442305532,-21.8646421676,8.125,,,,,5.757,0.0004,0.0004,,,,0.58,,,,,,M1 V,,,,3564.0,,,,,
GJ 504 b,Confirmed,4.0,1.0,1.0,,,,0.96,0.07,0.07,,,,43.5,,,,,,,,,,2013,2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,,,,,3.9,Published in a refereed paper,Imaging,Spectrum,Flux,59 Vir b,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.08,0.08,0.27,0.03,0.03,1.22,0.08,0.08,,,,GOV,0.16,0.35,0.35,6291.0,16.0,16.0,,,"e Virginis, HR 5011, 59 Virginis"
GJ 570 D,Confirmed,42.5,4.5,4.5,,,,0.855,0.023,0.023,,,,1500.0,,,,,,,,,,2000,2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,10.0,10.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,HR 5568 D,NH3,GJ 570 ABC,224.366666676,-21.415277798,5.64,,,,,5.91,0.06,0.06,0.06,,,0.802,0.04,0.04,,,,K4/M1/M3,,,,4758.0,,,,,HR 5568 ABC
GJ 758 b,Confirmed,37.9,1.5,1.5,,,,,,,109000.0,62000.0,62000.0,33.0,6.0,6.0,0.42,0.2,0.2,52.0,6.0,6.0,3.516129,2009,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.0,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425.0,,,,,"Gliese 758, HR 7368, HD 182488"
[GKH94]41,Confirmed,49.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,2016,2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,[GKH94]41,65.5,27.215277794,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASS-JWST-BD1,Confirmed,31.0,,,,,,,,,,,,,,,,,,,,,,2023,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,,3.51387500111,-30.3560277896,,,,,,645.0,75.0,75.0,,,,,,,,,,,,,,,,,,,
GQ Lup b,Confirmed,31.0,210.0,210.0,,,,4.6,1.4,1.4,,,,32.0,2.25,2.25,,,,,,,0.735714,2005,2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,"CO, H2O",GQ Lup,237.3,-35.6508333,11.4,,,,,140.0,50.0,50.0,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
GSC 08047-00232 b,Confirmed,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,2003,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01521461-5219332 b,,GSC 08047-00232,28.0609411392,-52.3258848296,,,9.06,8.54,8.45,86.2977,0.298,0.298,,,,0.8,0.1,0.1,,,,K2V,0.03,0.02,0.02,,,,,,2MASS J01521461-5219332
GSC 6214-210 b,Confirmed,17.0,3.0,3.0,,,,,,,,,,320.0,0.0,0.0,,,,,,,2.206897,2010,2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145.0,14.0,14.0,,,,0.6,,,,,,M1,0.011,0.002,0.002,,,,,,
GU Psc b,Confirmed,11.0,1.0,1.0,,,,1.35,0.03,0.03,,,,2000.0,200.0,200.0,,,,,,,,2014,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.145833345,17.065555569,13.55,,,,,48.0,5.0,5.0,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 (AB) b,Confirmed,11.0,2.0,2.0,,,,,,,,,,850.0,260.0,260.0,,,,56.0,21.0,21.0,,2013,2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,HD 106906 b,"C, CO, H2O, O",HD 106906 (AB),184.471630975,-55.9755251461,7.8,,,,,92.0,6.0,6.0,0.04,0.02,0.02,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6798.0,40.0,40.0,Imaging,,
HD 1160 b,Confirmed,20.0,,,,,,,,,,,,80.0,0.0,0.0,,,,,,,0.772947,2012,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4.0,4.0,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 118865 B,Confirmed,55.0,13.0,13.0,,,,,,,,,,9200.0,,,,,,,,,,2013,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,ULAS J133943.79+010436.4,,HD 118865 A,204.893023601,1.08836844038,7.98,,,6.73,,,,,,,,,,,,,,F8V,3.2,1.7,1.7,,,,,,"HIP 66637, 2MASS J13393431+0105180"
HD 126053 B,Confirmed,35.0,15.0,15.0,,,,0.9,0.1,0.1,,,,2630.0,,,,,,,,,,2012,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,"BD+01 2920 B, WISE J142320.84+011638.0",,HD 126053 A,215.813686478,1.24156717364,6.27,5.39,5.05,4.81,4.64,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,G1V,8.5,6.0,6.0,5750.0,100.0,100.0,,,"BD+01 2920, HIP 70319, 2MASS J14231528+0114294"
HD 130948 B b,Confirmed,55.6,1.9,1.9,,,,1.76,,,,,,,,,,,,,,,,2021,2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,HD 130948 B,222.566666672,23.911944472,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 169142 b,Confirmed,2.2,1.2,1.2,,,,,,,,,,36.4,,,,,,,,,,2014,2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,HD169142,276.124104177,-29.780508082,8.16,,7.31,,,117.0,,,,,,1.65,,,1.6,,,A7V,0.012,,,7650.0,150.0,150.0,Imaging,,
HD 19467 b,Confirmed,52.0,4.3,4.3,,,,,,,,,,51.1,1.0,1.0,,,,,,,,2016,2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.829166673,-13.761666691,7.0,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680.0,40.0,40.0,,,
HD 203030 b,Confirmed,11.0,4.0,4.0,,,,,,,,,,487.0,,,,,,,,,,2017,2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,"V457 Vul b, HIP 105232 b",H2O,HD 203030,319.7416667,26.2305556,8.43,,,,,41.0,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 206893 b,Confirmed,28.0,2.1,2.1,,,,1.25,0.02,0.02,9807.0,2140.0,2140.0,9.6,0.3,0.3,0.14,0.05,0.05,146.8,3.9,3.9,,2016,2023-01-02,183.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.2,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,HD 206893B,,HD 206893,326.341666674,-12.783333349,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1.0,1.0,6486.0,,,,,
HD 284149 b,Confirmed,32.0,18.0,18.0,,,,,,,,,,400.0,,,,,,,,,,2014,2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537.0,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.662500013,20.303055564,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.025,6040.0,60.0,60.0,,,
HD 33632 A b,Confirmed,50.0,5.0,5.0,,,,,,,39082.0,10230.0,10230.0,23.6,4.5,4.5,0.12,0.09,0.09,44.8,10.0,10.0,,2020,2021-11-21,360.0,140.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,HD 33632 A,78.320833339,37.28083335,,,,,,26.56,0.04,0.04,,,,1.03,0.04,0.04,,,,F8V,1.7,0.6,0.6,,,,,,
HD 3651B,Confirmed,53.0,15.0,15.0,,,,0.8,0.06,0.06,,,,476.0,6.0,6.0,,,,,,,,2006,2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,,,,,,Published in a refereed paper,Imaging,Theoretical,,"GL 27B, 54 Psc B",,HD 3651,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173.0,,,IR Excess,,54 Psc
HD 60584 b,Confirmed,28.0,9.0,9.0,,,,,,,,,,15.58,0.15,0.15,,,,,,,,2022,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 60584,113.579166673,-23.473611126,,,,,,30.53,0.03,0.03,,,,1.35,0.016,0.016,,,,F5V,1.0,0.3,0.3,,,,,,
HD 95086 b,Confirmed,2.6,0.4,0.4,,,,,,,,,,61.7,8.4,8.4,0.2,0.2,0.2,153.0,13.5,13.5,,2013,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,3.85,Published in a refereed paper,Imaging,Spectrum,,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,3.3,3.3,,,,1.6,,,,,,A8III,0.017,0.004,0.004,7550.0,100.0,100.0,Imaging,,
HD 97334 b,Confirmed,53.0,,,,,,,,,,,,2620.0,,,,,,,,,,2001,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,GJ 417 b,,HD 97334,168.134793948,35.8140810126,6.41,,,,,22.6538,0.0197,0.0197,-0.01,,,0.05,,,,,,G0V,,,,,,,,,GJ 417
HD 984 b,Confirmed,61.0,4.0,4.0,,,,,,,,,,28.0,4.0,4.0,0.76,0.05,0.05,120.8,1.6,1.6,,2017,2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730.0,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,HD 984,3.54166667,-7.199166683,7.3,,,,,47.1,1.4,1.4,,,,1.2,,,,,,F7V,0.08,0.05,0.05,6315.0,89.0,89.0,,,
HII 1348 b,Confirmed,59.0,6.0,6.0,,,,,,,,,,138.0,7.0,7.0,,,,,,,,2012,2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HII 1348,56.825000006,24.390833347,12.8,,,,,127.0,7.0,7.0,,,,,,,,,,K5V,,,,,,,,,
HIP 21152 b,Confirmed,24.0,4.0,4.0,,,,,,,21550.0,5845.0,5845.0,17.0,4.0,4.0,0.36,0.25,0.25,95.3,2.1,2.1,,2022,2022-11-21,160.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,HIP 21152,68.020833335,5.410000016,,,,,,43.27,0.06,0.06,,,,1.44,0.002,0.002,,,,F5V,0.625,0.6,0.6,,,,,,
HIP 29724 b,Confirmed,63.0,8.0,8.0,,,,,,,,,,6.3,0.09,0.09,,,,,,,,2022,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 29724,93.912500013,-57.701666682,,,,,,63.05,0.04,0.04,,,,1.94,0.001,0.001,,,,G2V,0.15,0.1,0.1,,,,,,
HIP 38939 B,Confirmed,38.0,20.0,20.0,,,,,,,,,,1630.0,,,,,,,,,,2012,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Published in a refereed paper,Imaging,,,HD 65486 B,,HIP 38939 A,119.518210354,-25.6266282997,8.44,7.28,6.51,5.94,5.83,18.4839,0.0132,0.0132,-0.3,0.1,0.1,,,,,,,K4V,0.9,0.6,0.6,4683.0,35.0,35.0,,,"HD 65486 A, 2MASS J07580434-2537356"
HIP 5319 b,Confirmed,31.0,11.0,11.0,,,,,,,,,,18.6,4.1,4.1,0.42,0.29,0.29,69.4,15.0,15.0,,2022,2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 5319,17.004166667,32.012222232,6.0,,,,,42.9,0.04,0.04,,,,1.397,0.052,0.052,,,,F5IV,,,,,,,,,
HIP 63734 b,Confirmed,11.0,3.0,3.0,,,,,,,,,,30.02,0.12,0.12,,,,,,,,2022,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 63734,195.912500013,-16.336388898,,,,,,54.08,0.01,0.01,,,,1.21,0.006,0.006,,,,F7/8 V,0.15,0.1,0.1,,,,,,
HIP 64892 b,Confirmed,33.0,4.0,4.0,,,,,,,,,,159.0,12.0,12.0,,,,,,,,2018,2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 64892,199.520833335,-44.055277783,6.8,,,,,125.0,,,,,,2.35,,,1.79,,,B9.5V,0.016,,,10400.0,,,,,
HIP 65426 b,Confirmed,7.1,1.1,1.1,,,,1.5,0.1,0.1,,,,87.0,31.0,31.0,,,,,,,,2017,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,150.0,150.0,1560.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 65426,201.150000012,-51.504444458,7.01,,,,,109.2,0.74,0.74,,,,1.96,0.04,0.04,1.77,0.05,0.05,A2V,0.014,0.004,0.004,8840.0,200.0,200.0,,,"HD 116434, 2MASS J13243609-5130159"
HIP 73990 b,Confirmed,21.0,5.0,5.0,,,,,,,,,,20.0,4.0,4.0,,,,,,,,2015,2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 73990,226.812500005,-29.504444458,8.12,,,,,125.0,15.0,15.0,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450.0,80.0,80.0,,,HD 133803
HIP 73990 c,Confirmed,22.0,6.0,6.0,,,,,,,,,,32.0,7.0,7.0,,,,,,,,2015,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 73990,226.812500005,-29.504444458,8.12,,,,,125.0,15.0,15.0,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450.0,80.0,80.0,,,HD 133803
HIP 74865 b,Confirmed,28.0,10.0,10.0,,,,,,,,,,23.0,6.0,6.0,,,,,,,,2015,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 74865,229.483333352,-30.478055574,9.0,,,,,115.0,15.0,15.0,,,,1.42,0.05,0.05,,,,F3V,0.015,0.005,0.005,6640.0,10.0,10.0,,,HD 135778
HIP 75056 b,Confirmed,25.0,5.0,5.0,,,,2.0,0.5,0.5,47500.0,11000.0,11000.0,30.0,15.0,15.0,0.5,0.2,0.2,,,,,2020,2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,HIP 75056,230.054166671,-34.925555581,,,,,,,,,,,,,,,,,,A2V,,,,,,,,,
HIP 77900 b,Confirmed,34.0,14.0,14.0,,,,1.76,0.12,0.12,,,,3200.0,300.0,300.0,,,,,,,,2013,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,2602.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700.0,1550.0,1550.0,,,
HIP 78530 b,Confirmed,28.0,10.0,10.0,,,,1.83,0.16,0.16,,,,710.0,60.0,60.0,,,,,,,4.530951,2011,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,13.0,13.0,,,,2.5,0.0,0.0,,,,B9V,0.011,0.002,0.002,10500.0,0.0,0.0,,,
HIP 79098 (AB) b,Confirmed,20.5,4.5,4.5,,,,,,,,,,345.0,6.0,6.0,,,,,,,,2019,2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 79098 (AB),242.183333348,-23.685277793,5.9,,,,,146.3,2.5,2.5,,,,,,,,,,B9V,,,,,,,,,
HIP 79797 Ba,Confirmed,58.0,21.0,21.0,,,,,,,,,,350.0,,,,,,,,,,2013,2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 79797 A,244.270833335,-67.941111136,5.9,,,,,52.2,1.1,1.1,,,,1.76,0.4,0.4,,,,A3V,0.2,0.13,0.13,,,,,,
HIP 79797 Bb,Confirmed,55.0,20.0,20.0,,,,,,,,,,350.0,,,,,,,,,,2013,2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 79797 A,244.270833335,-67.941111136,5.9,,,,,52.2,1.1,1.1,,,,1.76,0.4,0.4,,,,A3V,0.2,0.13,0.13,,,,,,
HIP 81208 C b,Confirmed,14.8,0.4,0.4,,,,,,,,,,23.04,6.55,6.55,,,,,,,,2023,2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 81208 C,248.812500005,-35.724444465,,,,,,148.7,1.3,1.3,,,,0.135,0.13,0.13,,,,,,,,,,,,,
HIP 99770 b,Confirmed,16.1,5.4,5.4,,,,,,,,,,16.9,1.9,1.9,0.25,0.16,0.16,148.0,13.0,13.0,,2022,2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,Published in a refereed paper,Imaging,Astrometry,,29 Cyg b,,HIP 99770,303.633333344,36.80638891,,,,,,40.74,,,,,,1.85,0.19,0.19,,,,A2V,,,,8000.0,,,,,29 Cyg
HN Peg b,Confirmed,16.0,9.4,9.4,,,,1.1,0.06,0.06,,,,795.0,15.0,15.0,,,,,,,43.206522,2007,2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,HD 206860,,HN Peg,326.1291667,14.7719444,6.0,,,,,18.4,0.3,0.3,,,,1.0,,,,,,G0V,0.2,,,,,,,,
HR 2562 b,Confirmed,10.28,,,,,,,,,30498.0,,,21.2,0.3,0.3,,,,84.1,,,,2016,2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,HR 2562,102.504226375,-60.2491437951,6.114,,,,,33.63,0.48,0.48,0.015,0.065,0.065,1.3,,,,,,F5V,0.6,0.3,0.3,,,,IR Excess,,
